arm,epoch,physics_regularization
gan_sec,799,1.110511e-01
gan_sec,899,1.702636e-01
gan_sec,999,8.833476e-02
gan_sec,1099,8.673234e-02
gan_sec,1199,1.306270e-01
gan_sec,1299,9.623823e-02
gan_sec,1399,1.054303e-01
gan_sec,1499,8.896918e-02
gan_sec,1599,1.118876e-01
gan_sec,1699,7.164037e-02
gan_sec,1799,6.358688e-02
gan_sec,1899,1.188126e-01
gan_sec,1999,1.788281e-01
gan_sec,2099,1.014621e-01
gan_sec,2199,1.135740e-01
gan_sec,2299,1.283102e-01
gan_sec,2399,9.607974e-02
gan_sec,2499,1.107128e-01
gan_sec,2599,9.183973e-02
gan_sec,2699,9.125544e-02
gan_sec,2799,1.309086e-01
gan_sec,2899,4.584552e-02
gan_sec,2999,6.777801e-02
gan_sec,3099,1.246752e-01
gan_sec,3199,4.040047e-02
gan_sec,3299,6.537133e-02
gan_sec,3399,5.452879e-02
gan_sec,3499,4.734186e-02
gan_sec,3599,5.414966e-02
gan_sec,3699,6.889281e-02
gan_sec,3799,8.976952e-02
gan_sec,3899,7.637452e-02
gan_sec,3999,1.043606e-01
gan_sec,4099,6.445062e-02
gan_sec,4199,7.284945e-02
gan_sec,4299,1.657015e-01
gan_sec,4399,1.525876e-01
gan_sec,4499,7.849496e-02
gan_sec,4599,8.797529e-02
gan_sec,4699,1.471030e-01
gan_sec,4799,8.064942e-02
gan_sec,4899,7.629777e-02
gan_sec,4999,7.568672e-02
gan_sec,5099,9.749987e-02
gan_sec,5199,5.903176e-02
gan_sec,5299,1.483905e-01
gan_sec,5399,8.130431e-02
gan_sec,5499,1.064445e-01
gan_sec,5599,1.073635e-01
gan_sec,5699,5.433229e-02
gan_sec,5799,1.043845e-01
gan_sec,5899,9.161170e-02
gan_sec,5999,9.055790e-02
gan_sec,6099,8.514016e-02
gan_sec,6199,9.605958e-02
gan_sec,6299,9.500270e-02
gan_sec,6399,1.007460e-01
gan_sec,6499,6.930945e-02
gan_sec,6599,7.337844e-02
gan_sec,6699,1.334819e-01
gan_sec,6799,4.239235e-02
gan_sec,6899,8.780286e-02
gan_sec,6999,7.654358e-02
gan_sec,7099,1.781791e-01
gan_sec,7199,8.010451e-02
gan_sec,7299,7.231880e-02
gan_sec,7399,5.863332e-02
gan_sec,7499,8.667780e-02
gan_sec,7599,7.396016e-02
gan_sec,7699,1.127023e-01
gan_sec,7799,1.225661e-01
gan_sec,7899,6.242396e-02
gan_sec,7999,1.129236e-01
gan_sec,8099,6.388836e-02
gan_sec,8199,7.412918e-02
gan_sec,8299,6.663065e-02
gan_sec,8399,1.131581e-01
gan_sec,8499,5.898850e-02
gan_sec,8599,7.525482e-02
gan_sec,8699,1.035202e-01
gan_sec,8799,7.111675e-02
gan_sec,8899,7.802479e-02
gan_sec,8999,8.555245e-02
gan_sec,9099,1.073898e-01
gan_sec,9199,4.121146e-02
gan_sec,9299,1.403988e-01
gan_sec,9399,1.195801e-01
gan_sec,9499,1.083752e-01
gan_sec,9599,1.116004e-01
gan_sec,9699,1.058151e-01
gan_sec,9799,9.455825e-02
gan_sec,9899,1.180995e-01
gan_sec,9999,1.263688e-01
gan_sec,10099,8.060267e-02
gan_sec,10199,9.024253e-02
gan_sec,10299,1.364414e-01
gan_sec,10399,1.202138e-01
gan_sec,10499,1.010104e-01
gan_sec,10599,1.134691e-01
gan_sec,10699,1.091888e-01
gan_sec,10799,1.524977e-01
gan_sec,10899,1.284323e-01
gan_sec,10999,8.424725e-02
gan_sec,11099,1.034742e-01
gan_sec,11199,1.092037e-01
gan_sec,11299,1.233511e-01
gan_sec,11399,1.020146e-01
gan_sec,11499,1.308409e-01
gan_sec,11599,1.038845e-01
gan_sec,11699,6.092804e-02
gan_sec,11799,9.502517e-02
gan_sec,11899,8.200148e-02
gan_sec,11999,9.721520e-02
gan_sec,12099,1.548322e-01
gan_sec,12199,9.955499e-02
gan_sec,12299,1.402777e-01
gan_sec,12399,9.725134e-02
gan_sec,12499,6.650724e-02
gan_sec,12599,8.373741e-02
gan_sec,12699,9.805030e-02
gan_sec,12799,1.652092e-01
gan_sec,12899,6.368741e-02
gan_sec,12999,1.130055e-01
gan_sec,13099,1.391603e-01
gan_sec,13199,1.424805e-01
gan_sec,13299,9.244429e-02
gan_sec,13399,6.270298e-02
gan_sec,13499,9.354847e-02
gan_sec,13599,1.169997e-01
gan_sec,13699,6.792609e-02
gan_sec,13799,9.821386e-02
gan_sec,13899,7.675219e-02
gan_sec,13999,6.110502e-02
gan_sec,14099,1.181358e-01
gan_sec,14199,7.810784e-02
gan_sec,14299,4.409625e-02
gan_sec,14399,1.707576e-01
gan_sec,14499,1.428125e-01
gan_sec,14599,1.411603e-01
gan_sec,14699,9.558523e-02
gan_sec,14799,5.083395e-02
gan_sec,14899,6.743812e-02
gan_sec,14999,1.496763e-01
gan_sec,15099,5.845034e-02
gan_sec,15199,7.374894e-02
gan_sec,15299,8.971170e-02
gan_sec,15399,5.985302e-02
gan_sec,15499,7.439837e-02
gan_sec,15599,7.080916e-02
gan_sec,15699,1.001744e-01
gan_sec,15799,1.512077e-01
gan_sec,15899,7.861290e-02
gan_sec,15999,1.281390e-01
gan_sec,16099,7.084460e-02
gan_sec,16199,8.721143e-02
gan_sec,16299,1.555594e-01
gan_sec,16399,1.066506e-01
gan_sec,16499,1.248755e-01
gan_sec,16599,1.280395e-01
gan_sec,16699,1.734567e-01
gan_sec,16799,6.141962e-02
gan_sec,16899,8.418913e-02
gan_sec,16999,1.440787e-01
gan_sec,17099,8.657781e-02
gan_sec,17199,1.041818e-01
gan_sec,17299,8.150440e-02
gan_sec,17399,1.042671e-01
gan_sec,17499,6.709495e-02
gan_sec,17599,9.321338e-02
gan_sec,17699,1.107576e-01
gan_sec,17799,7.698850e-02
gan_sec,17899,1.103859e-01
gan_sec,17999,1.235324e-01
gan_sec,18099,8.890766e-02
gan_sec,18199,9.546851e-02
gan_sec,18299,8.074487e-02
gan_sec,18399,1.143205e-01
gan_sec,18499,1.279289e-01
gan_sec,18599,1.391259e-01
gan_sec,18699,1.097537e-01
gan_sec,18799,1.010514e-01
gan_sec,18899,6.162500e-02
gan_sec,18999,9.464007e-02
gan_sec,19099,6.068882e-02
gan_sec,19199,1.121456e-01
gan_sec,19299,6.083845e-02
gan_sec,19399,8.612429e-02
